[file name]: opcode.csv
[file content begin]
Mnemonic,Type,Opcode
MOV,RR,89
MOV,RM,8B
MOV,MR,89
MOV,RI,B8
MOV,MI,C7
MOV,MR,8A
MOV,MR,8B
ADD,RR,01
ADD,RM,03
ADD,MR,01
ADD,RI,83
ADD,MI,83
SUB,RR,29
SUB,RM,2B
SUB,MR,29
SUB,RI,83
SUB,MI,83
PUSH,R,50
POP,R,58
PUSH,I,68
CMP,RR,39
CMP,RM,3B
CMP,MR,39
CMP,RI,83
CMP,MI,83
JNE,I,75
JE,I,74
JMP,I,EB
CALL,I,E8
RET,NOOP,C3
RET,I,C2
PUSHA,NOOP,60
POPA,NOOP,61
PUSHAD,NOOP,60
POPAD,NOOP,61
INC,R,40
INC,M,FF
DEC,R,48
DEC,M,FF
NEG,R,F7
NEG,M,F7
NOT,R,F7
NOT,M,F7
AND,RR,21
AND,RM,23
AND,MR,21
AND,RI,83
AND,MI,83
OR,RR,09
OR,RM,0B
OR,MR,09
OR,RI,83
OR,MI,83
XOR,RR,31
XOR,RM,33
XOR,MR,31
XOR,RI,83
XOR,MI,83
TEST,RR,85
TEST,RM,85
TEST,MR,85
TEST,RI,F7
TEST,MI,F7
SHL,RR,D3
SHL,RM,D3
SHL,MR,D3
SHL,RI,C1
SHL,MI,C1
SHR,RR,D3
SHR,RM,D3
SHR,MR,D3
SHR,RI,C1
SHR,MI,C1
ROL,RR,D3
ROL,RM,D3
ROL,MR,D3
ROL,RI,C1
ROL,MI,C1
ROR,RR,D3
ROR,RM,D3
ROR,MR,D3
ROR,RI,C1
ROR,MI,C1
LEA,RM,8D
XCHG,RR,87
XCHG,RM,87
XCHG,MR,87
NOP,NOOP,90
HLT,NOOP,F4
CLI,NOOP,FA
STI,NOOP,FB
STC,NOOP,F9
CLC,NOOP,F8
CMC,NOOP,F5
LAHF,NOOP,9F
SAHF,NOOP,9E
PUSHF,NOOP,9C
POPF,NOOP,9D
IN,RI,E4
IN,RD,E5
OUT,IR,E6
OUT,DR,E7
MOVSX,RM,0FBE
MOVSX,MR,0FBE
MOVZX,RM,0FB6
MOVZX,MR,0FB6
BSWAP,R,0FC8
CALL,M,FF
JMP,M,FF
JMP,R,FF
LOOP,I,E2
LOOPE,I,E1
LOOPNE,I,E0
JCXZ,I,E3
JECXZ,I,E3
ENTER,I,C8
LEAVE,NOOP,C9
BOUND,RM,62
ARPL,RM,63
LAR,RM,0F02
LSL,RM,0F03
LGDT,M,0F01
LIDT,M,0F01
LLDT,M,0F00
LTR,M,0F00
LMSW,M,0F01
CLTS,NOOP,0F06
INVD,NOOP,0F08
WBINVD,NOOP,0F09
INVLPG,M,0F01
LOCK,NOOP,F0
REP,NOOP,F3
REPE,NOOP,F3
REPZ,NOOP,F3
REPNE,NOOP,F2
REPNZ,NOOP,F2
STOSB,NOOP,AA
STOSW,NOOP,AB
STOSD,NOOP,AB
LODSB,NOOP,AC
LODSW,NOOP,AD
LODSD,NOOP,AD
SCASB,NOOP,AE
SCASW,NOOP,AF
SCASD,NOOP,AF
CMPSB,NOOP,A6
CMPSW,NOOP,A7
CMPSD,NOOP,A7
INSB,NOOP,6C
INSW,NOOP,6D
INSD,NOOP,6D
OUTSB,NOOP,6E
OUTSW,NOOP,6F
OUTSD,NOOP,6F
MOVSB,NOOP,A4
MOVSW,NOOP,A5
MOVSD,NOOP,A5
[file content end]
